,Name,Bio
@nachoarranz,Ignacio Arranz,"“When the facts change, I change my mind. What do you do, sir?”"
@JoKurio6,Codessive,Android & Front End Developer | mentor @ALC | Udacity Nanodegree(Android Basics) | Google Scholarship recipient
@utdlife07,Vaibhav,He who dares.
@roddur_dasgupta,chef boi rd,(2b||!2b) cs@usc ‘22. I like to arrange sounds and words in a pleasing way.
@JackYu0,Jack,"Data Science @ExperianDataLab , Former @FantasyPros , @UCSF / @WUSTL Alum"
@timickar,Arcturus Star,
@spenclark,Spencer Clark,@suitebank
@QualifiedIO,Qualified,"The most effective platform for assessing engineers, saving companies time and money to get the best talent. Contact us at team@qualified.io to get started."
@leventbilicier,Levent,Trying to learn how to think better
@mubitechnology,mubarak,"Software Developer at Asusu Tech, #Laravel #javascipt, #OpenSourceAdvocate, #communityBiilder, All things Back end checkout my code below,"
@CanavanCathal,Cathal Canavan,@DCUSUS
@DKMDebugin,Jamiu Olashile Salimon,Software Engineer . Linkedln: http://linkedin.com/in/dkmdebugin Medium: http://medium.com/@dkmdebugin
@bootsink,bootsink,Life moves fast. Learn and adapt.
@Ikekul,Iyke,JW | Web Developer | Manga Lover | Gamer
@bayokay,Kazeem Ganiu Adebayo,"Telecommunications||Data Science||Member, @gemstones_tmc"
@Caustic_Que,Que,Aspiring software dev.
@MutuaKiluti,Kiluti,"Asker of tough questions, pursuer of long answers. Mindfulness novice a month ago, now an amateur student of the history of religion + philosophy."
@AJandTara,A.J. and Tara,"A Pop group blended with Alt roots. 2 Co-singers & some guitar making Catchy, Hopeful Music. Get an EXCLUSIVE Digital Bundle FREE: http://ajandtara.com/links"
@onlineawale,Wale,I am just an ordinary man.
@Tuneshman,Remote Worker,Actively pursuing my dreams @LambdaSchool
@TolakedCFC,DETOLA,"Software developer...Javsacript | node.js, React.js ... Student @LambdaSchool"
@daveGRU203,David Kuseh,Student @LambdaSchool . Sports fanatic: #CFC #LakerNation #RaiderNation #LAKings #AsanteKotoko
@ChelsWetz,Chelsea Wetzel,Full Stack Web Dev student @LambdaSchool | Slytherin | cat mom | (She/Her)
@thequiet_one,Nitesh Dudhia,"Tech buff, avid reader but mostly a weekend loving organic gardner"
@jasynmarais,Jasyn Marais,Full-Stack Web Development @LambdaSchool .
@HakimMerah,Hakim Merah,Manager @AISupplyChain | Accelerating AI-powered supply chains | Funding AI Projects | Product | Technology | Business | Hockey | Cars | Travel | Coffee
@DionAditya97,bukadikit.js,React JS Developer
@jurvistan,Jurvis Tan 陈思骏,t(h)inkering with equitable participation on the internet. white-belt for life.
@ZacharyLasky,Zachary Lasky,"Web development, music business. I do weekly vlogs about my experience so far attending Lambda School http://youtu.be/tZF9T7gMO6I"
@ChinchillaQ21,Chinchilla Q.,Entrepreneur/Podcaster (Audio & Video)/Music Producer/Online Radio (Host & DJ)/And A Man of Other Many Talents. Future Software Engineer
@joseakyin7,Joseph Yaw Akyin,In the Service of Her Majesty's Government| Agent of @Owurakuuu_ | Yahweh Got Us| Real Madrid| Polymath| #HeIsYahweh
@chance_dare,Chance Dare,Data Scientist / Learner / Job Seeker This Neural Network stuff is pretty neat
@BracketBebop,Jacob,"Frog Kid, musician, competitive Mario Party player, & sort of ok person. Lambda Web27. Better Every Day."
@McCarthySpider,Patrick McCarthy,"Operator, Investor, Climber. Finance + Ops @SpokenLayer"
@antifashcrusade,Anti-Despot Humanist,Against all Despotism. Fascism is a subset of Marxism.
@alchoj,al,"Playing A Game - Problem solved:) craftsperson living in a permanent state of curiosity. at the intersection of politics, business, and tech."
@Neil_III,Neil T,"• Retail, Investing, and everything in between. •"
@victor_m_joseph,Victor M. Joseph,Founder @tangotv_vod ( @google launchpad '18) | @cheveningfco Scholar | Grad student @cardiffbusiness
@EMMACODEMY,AYODELE Emmanuel,learning frontend development. music is my love .JavaScript is my second love.
@dctg623,Tom,
@rane_wallin,Rane Wallin,"Full Stack Web Developer and Java Engineer - Java, C++, C#, JavaScript, React, Node.js, Express, SQL, Nosql, sqlite, MySQL, Postgres, Selenium WebDriver"
@Beaves_LLC,Justin Beavers,"I’m in Amy’s pinned tweet! also Amy’s BF, 1 half of MVC, The Cultures Own, Investor justinbeaversllc@gmail.com"
@LMWBXR,Lisa Wilson,Content Creator Lifting Boxer Medic Writer Tech Team @bodybuildingcom
@ASeries_ofTubes,Austin Kelsay,"I play in The Tooth, I care about human consciousness and the betterment of human well being. Proud @Lambdaschool student"
@FutureofWomen,andrea guendelman,"Harvard Law- BeVisibleLatinx- http://Wallbreakers.com : my kids, my work, Taos, NM & skiing. We pre-qualify, train and refer UR CS majors to tech companies."
@kevinhous3,Kevin Houston,Learning from the best. Sharing what resonates. Investing + Technology @ Espresso Capital.
@BrendaJoshua_,Brenda Joshua,Full-stack web developer @LambdaSchool Facebook:Brenda Joshua Instagram: Brenda Joshua
@MyBroJoe,anon | #SaveTheOA,unaffiliated.
@GriffinWST92,Griffin Workman,"Every one of us is, in the cosmic perspective, precious. If a human disagrees with you, let him live. In a hundred billion galaxies, you will not find another."
@ehui_barthelemy,barthelemy.ehui,Développeur d'application PHP
@ZackBrust,Zack Brust,changing the way athletes + employees train @STRIVRLabs • @UTexasMBA '18 • #98 @GatorsFB '12 • Optimist
@vivek_kumar,Vivek Kumar,"Director, Audio AI @Dolby | Leading Deep Learning & AI Research | Created @colorizeBot | Angel Investor"
@KaraCronin12,Kara Cronin,"advocate for the disabled, homeless, & mentally ill. I startups. board member @eastersealsma . @notredame alum."
@whr_ae,Wadimah,
@warren_eiserman,Warren Eiserman,"CRO at @epiuselabs by day, squash professional wannabe by night"
@soracle,Sachin Arora,"Angel Investor, Technologist - India head of Analytics & Big Data@ KPMG; Views personal."
@Mark_F_Wright,Mark F. Wright,"Intellectual property law attorney working with start up and emerging technology companies to help them identify, protect, and leverage their IP."
@WILLINTHETHRILL,Will Jarvis,Working to restart American growth. Ops @tanjohq
@Gustavo___0,Gustavo,8:18
@NadimHachem,Nadim Hachem,"Back to school @MIT , previously: @McKinsey , product @Traveloka , engineering @aub_lebanon"
@JeremyNEvans,Jeremy Evans,"Cofounder Savvy (YC S18), http://GE2017.org and @Explaain . Brit living in SF. @Forbes 30 Under 30. Taught @CityUniLondon & @DecodedCo , wrote @techcitynews & @itvnews"
@mayathirtyseven,Maya,Do what inspires you and don't apologize for it. Boldness is respectable; carefulness has never changed the world. obese Indian American Floridan born & raised
@jdotarnold,Jeremy Arnold,Messaging consultant. Co-parent to very cute cat. I write high-context explainers / fact-checks in my spare time. Bad at Twitter. Go Packers.
@RoxanneDes4ges,Roxanne Desforges,"Learning Innovation | Founding partner at @PurenAppliedgr | Research @McGillU | I work on projects in education, social innovation, eLearning."
@Tim_Hansen_,Tim Hansen,"UX Product Designer. Prev @pluralsight , @canopytax . Father of 6. Photography. Golf. Music."
@JulienJaSE92,Julien Jarvis,I will prepare and some day my chance will come. – Abraham Lincoln
@WebWallen,Daniel Wallen,Dogfather. Coffee fiend. Codes daily. Even lifts.
@YongamaDilima,Yongama Dilima,"Less / ""I admit, I was not completely sure what I was talking about"""
@KareninKenya,Karen Levy,"Director, Global Innovation @EvidenceAction . Proud Nairobian; mtoto wa pwani. Social entrepreneur, up-scaler, worm slayer. Brown, LSE, UnivLondon, YCombinator."
@binyelumginika,Ada Ego Oyibo,"wonderfully made,strong woman! Lawyer experienced in(start up finance,fundraising, impact investing,energy & gender,tech)author, teacher, entrepreneur,investor"
@desikhichdi,Surat Gupta,Hulk Smash!
@Filebase,Filebase,Blockchain-based Object Storage featuring an S3-Compatible API. 5GB for free at http://filebase.com
@akshaymahajan_,Akshay,Data Scientist @branchmetrics
@sebestin_dragos,Sebestin Dragos,"node, ng, tns js web developer by day, dreamless sleeper by night."
@Starostenko2001,Tyler Watts,Remember that the best relationship is one in which your love for each other exceeds your need for each other.
@mikeattara,MPY,| Software Developer @KnackAppHQ | JavaScript Enthusiast | Learning Community Ambassador @andela_alc
@rbrena,Ramon Brena,"Former AI researcher at the Monterrey Tech, Mexico, now CEO of Avalinguo, a startup for talk practice for learning languages, with VR, avatars, real people."
@mattdlockyer,Matt Lockyer,"Building Privacy, Cryptography & Blockchain Solutions"
@frescodsntweet,fresco,
@AnyaebosiPeter1,Anyaebosi Peter,"Tech enthusiast, blockchain on my mind, PRO MUA, #foodie, #punter and God on my side"
@dorin_nyc,Dorin,
@waseemshabout,Waseem Shabout,"Here to convert the trolls to productive members of society, one conversation at a time."
@emmacosmos,Emma Cosmos Umoh,A Lawyer | Researcher | E-learning & Tech Enthusiast | Life-long Learner | E-Cosmos Legal Consulting
@MirandaSHK1991,Miranda Styles,"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can s"
@khalidgohar009,Khaled R Gohar,“Luck is what happens when preparation meets opportunity.” #KRG Business shark
@Tuvshinbat,Tuvshinbat,Mongolian | UBMTS l Monbusho | Hitotsubashi Uni | Rakuten | E-commerce | Marketing | Planning | Data Analyst
@tamer_hosn,Tamer Hosn,"in // biz dev @particle . ex- @deloitte , $slb, @ucsandiego // avid reader, history & politics nerd, cleantech enthusiast. views my own."
@Firezstarter1,Firestarter,Just another person on twitter
@betoparcus,Robert Parcus,:)
@JerodDupont,Jerod DuPont,I'm a father of 2. Volunteer Fireman. I'm aspiring to become a Full-Stack Web Developer
@ChrisEsplin,Chris Esplin,@Workfront ; @GoogleDevExpert for @Firebase ; http://Calligraphy.org; Helping companies save big with @Firebase and building fun web apps on the side.
@Tvonthefritz,Winter Breedlove,Rabblerouser & music journo. America's sassy bitch with a heart of gold. Credits include @bitchmedia . #HIVactivism #transgender #socialist
@Galileo_Tweets,"Galileo Financial Technologies, Inc.",Our powerful APIs and payments platform offer the easiest way to create sophisticated card-based and digital financial solutions.
@HarmanMikio,Mikio Harman,Learning about Data Science . @LambdaSchool DS8. $XRP
@joshdecaire,Josh Decaire,Ecommerce and marketing freelancer. Strategic Account Manager at Tangent MTW/MPSToolbox.
@alipaints,Alisia Painter,"MBA @HarvardHBS ; prev. investing $CTAC $APXT, growth @BRF_Global & consulting @EY_Parthenon , @IveyHBA alum; contrarian optimist"
@VeraMen58381743,Vera Mendes,
@ollasupo,Olasupo,
@Tornquist,Eric Tornquist,"Life is short,dream big but execute small. Former CMO @etermax @TriviaCrack Dridco ( @LaNacion @ZonaProp @ZonaJobs @DeMotores ) @GlobalLogic AR @Submarino"
@ade4dev,Oneclick,A strong desire to travel and explore the world. Just a click you are there |Travel expert |Travel consultant | Aviation | Dataanalyst |Hospitality .
@alanchr5412,Alan Christensen,
@grafofilia,tropical cat princess,"human, cat mom, plant lady, artist, software engineer @grinscooters / @yellow_app , crypto enthusiast, tropical nerd, veracruzana :: sacerdotiza del Azar"
@Dave_Dero,Ikhidero,"Mostly reserved, sometimes fun to be with.....#BOBA culé Love @elonmusk"
@CashVivo,CashVivo,Cashvivo Allows you to Send Cash to Friends/Family Instantly to any ATM in our network for pick up! No Card or Bank Account needed for recipient! Patented App!
@Tingnit_OG,Tnt_254,Just do it Ifb
@Andrew_T_Thomas,Andrew Thomas,"Marketing @CloudApp | @USUAggies '19 | Golfer, Skier, Hockey Player"
@itsevanwalden,Evan Walden,CEO @monday_vc | I make it easier for people to find meaningful work | Prev. CEO @ReWorkJobs
@sa_cmdr,sa_cmdr,Whatever it takes!
@curlybracketsno,CurlyBrackets,"We are a community of creators that learn through building digital projects. We tweet about education, technology, psychology and everything in between."
@udayvansh,udayvansh,"Product Manager & Growth Hacker @leverageedu | Alum @BCG @KPMG | Tech Enthusiast, Technology Lover, Artificial Intelligence Believer, Cricket"
@natemcgowan,Nathan McGowan,"VP Product, Tribune formerly @thr @billboard"
@YounglingAndCo,Youngling & Feynman,"Double Your Revenue, Pay Nothing Upfront To Read The YF Daily, Click the link below."
@_emrahsaglik,Emrah Saglik,Loves to comment on products!
@JosephDFox,Joe Fox,"I research entrepreneurship, angel investing, startups, iatrogenic effects @akronCBA . Following calling w @Alexakaye3 & thanking God for it."
@Mio24669966,Mio,Sincere and honest
@PartTimeRob,Rob Healy,Founder/CEO @ SUPER FUN Productions /// { Interested in (dis)information / (dis)illusion / (dis)integration }
@michael_christe,Michael Christen,"Founder of @splodge_io , a smart operating system for digital teamwork, formerly @zurich and @axa , @unibasel alumnus. My views."
@willmurphy,will murphy,"Started in TN ended up in SV | founding team @tallainc | ex: @fedex innovation | cofounded SenseAware, SurfRate | advisor @singularityu @PlugandPlayTC"
@gabsong,Gabriel Song,"I'm curious , open to • enjoy • product manager • born in raised in • @UCSanDiego"
@Huong08567231,Huong,
@micheal_mcl_,Micheál McLaughlin,@Crop_Safe
@dr_data01,Erik Quiroga,Data Analyst // #Python //Finance & Tech Aficionado
@kacperwikiel,Kacper Wikieł,Learning
@sandrajirous,Sandra Jirous,Silicon Valley character. All opinions are my own.
@lynmb_,Lyn,I will sometimes tweet about things I disagree with.
@mtspire,Matthew Spire,Runner who went from 300lbs to 145lbs. I approach my life like a road race. There is no finish line. Coder Web Developer Looking for work
@JobsLua,Lua | Jobs for Bootcamp Grads,"We send job opportunities for bootcamp grads to your email inbox, every Sunday. Sign up below ↓"
@DanielDetes,Daniel Detes,WEB26 Student @lambdaschool
@MarlinBickerst,Marlin Bickerstaff,"comments expressed which should be totally ignored, nothing should be considered financial advice, or advice of any kind actually, except uh perhaps that."
@forifiles,Ogbunigwe,"Like flies to wanton boys, so we are to the gods. This is an Eric Cantonna stan account. http://github.com/forifiles http://medium.com/@forifiles"
@JustFyte,John Feichtner,Husband. Father to 3 humans and a bulldog. I write about growth and objectivity.
@gao8881,AbdelI,"Into Web Dev,Cryptocurrency , Psychology,Philosophy , Health/nutrition,Foreign languages."
@TimiIdowu2,Timi Idowu,Design observer. Seeing the world through a design lens.
@treyclosson,Trey Closson,International trade @georgiapacific . Previously @Flexport . @georgiatechbsch and @furmanu alum. Believer in transformation and change. Building a life in Atlanta
@Sobol_,Mohamed Sobol,Stock market analyst/fanatic. An offer you can't refuse!
@johncalhoom,Johncalhoon,
@relyksuzuki,Skyler Suzuki,"Studying iOS @Lambdaschool Games, food, sleep."
@AuxiNom,Francis.,"tweets about: science, software, film, Batman, and football. breaking things at @LambdaSchool"
@haziqnaeem36,jvg,.
@Colin_Smith30,Colin,
@93alan,Alan Montgomery,I develop things Full Stack Developer Passion for web development. Founder & Developer of @trackmylift_ Mobile Team Lead @Tascomi .
@IgorTavarez,Igor Tavarez,"JavaScript enthusiast , Full-Stack Developer"
